date,cash,positions_value,total_value,positions_count,daily_return
2024-02-05,31415.131924542125,19925.015174865723,51340.14709940785,6,-0.0034367241215031985
2024-02-06,35205.31441791545,16319.718482971191,51525.03290088664,5,0.0036011934504356358
2024-02-07,31737.833232971225,19871.96524810791,51609.79848107914,6,0.0016451339362666406
2024-02-08,31737.833232971225,19821.003120422363,51558.83635339359,6,-0.0009874506234359703
2024-02-09,31737.833232971225,19938.842544555664,51676.67577752689,6,0.0022855330427864473
2024-02-12,31737.833232971225,20000.215965270996,51738.049198242225,6,0.001187642583271975
2024-02-13,31737.833232971225,19673.62892150879,51411.46215448002,6,-0.006312318473988832
2024-02-14,31737.833232971225,20039.728775024414,51777.56200799564,6,0.007120977271869444
2024-02-15,35346.75318100415,16670.396087646484,52017.14926865063,5,0.004627241055073172
2024-02-16,35600.28880453836,16527.271102905273,52127.55990744363,5,0.0021225815013961036
2024-02-20,35882.30530827783,16165.9853515625,52048.29065984033,5,-0.001520678269691711
2024-02-21,35613.037185456,16540.54665374756,52153.58383920356,5,0.0020229901506538805
2024-02-22,32188.537156766528,20313.26107788086,52501.79823464739,6,0.006676710780172179
2024-02-23,35813.96502236711,16607.264068603516,52421.22909097063,5,-0.0015345977925683707
2024-02-26,35849.827925802994,16570.49585723877,52420.323783041764,5,-1.7269872236158612e-05
2024-02-27,35443.20109904963,17140.94302368164,52584.14412273127,5,0.0031251302522954383
2024-02-28,35735.10342651057,17026.824310302734,52761.927736813304,5,0.003380935775375349
2024-02-29,35811.08971575673,17097.94386291504,52909.03357867177,5,0.0027881058969689843
2024-03-01,36096.05245272711,17388.6593170166,53484.71176974371,5,0.010880527428571485
2024-03-04,29892.894651596955,23835.18812561035,53728.08277720731,6,0.004550291090869685
2024-03-05,25594.18819770019,27878.46524810791,53472.6534458081,7,-0.004754112155060386
2024-03-06,25024.55182134034,29104.213302612305,54128.765123952646,7,0.012270041523364528
2024-03-07,29913.847269971477,24767.125518798828,54680.972788770305,6,0.010201741413333965
2024-03-08,25590.35595638559,28930.355392456055,54520.71134884164,7,-0.0029308447117014635
2024-03-11,26015.030237009887,28509.512840270996,54524.54307728088,7,7.028023561028718e-05
2024-03-12,25764.289241468447,29056.765449523926,54821.05469099237,7,0.005438131105311994
2024-03-13,24854.84780162821,29860.43724822998,54715.28504985819,7,-0.0019293616609598052
2024-03-14,24657.34540866451,29923.656898498535,54581.00230716304,7,-0.002454208957748949
2024-03-15,20724.311886995823,33364.64259338379,54088.954480379616,8,-0.00901500166696001
2024-03-18,24618.257016390355,29714.87564086914,54333.1326572595,7,0.004514381526240285
2024-03-19,20192.581841360403,34100.28507232666,54292.86691368706,8,-0.0007410900421744859
2024-03-20,24952.40587128289,29512.75298309326,54465.158854376146,7,0.00317338078615359
2024-03-21,33670.05684211485,20967.05744934082,54637.11429145567,5,0.003157163968607657
2024-03-22,20532.871879408165,34147.032386779785,54679.90426618795,8,0.0007831668141187187
2024-03-25,23836.98008602089,30792.50493621826,54629.485022239154,7,-0.0009220799601870056
2024-03-26,24023.055398499433,30770.18465423584,54793.24005273527,7,0.002997557645463056
2024-03-27,29709.704995465247,26278.36496734619,55988.06996281144,6,0.021806155447756215
2024-03-28,20579.647804610835,35619.11135673523,56198.75916134607,8,0.0037631087957590292
2024-04-01,25371.43502570197,31040.511896133423,56411.94692183539,7,0.0037934602768945336
2024-04-02,25191.133053039455,30985.8488445282,56176.98189756765,7,-0.004165164244256725
2024-04-03,20744.94368010554,35281.43780708313,56026.38148718867,8,-0.002680820601106415
2024-04-04,25954.49084233181,30000.94044494629,55955.4312872781,7,-0.001266371270591371
2024-04-05,21474.901109154023,34790.72563934326,56265.626748497285,8,0.00554361666210057
2024-04-08,21474.901109154023,34808.52914428711,56283.43025344113,8,0.0003164188505964116
2024-04-09,29898.409827064792,26486.693641662598,56385.10346872739,6,0.0018064502257313375
2024-04-10,29898.409827064792,26062.461029052734,55960.87085611753,6,-0.0075238420524519345
2024-04-11,29898.409827064792,25998.508317947388,55896.91814501218,6,-0.0011428112201787854
2024-04-12,38099.2580817645,17167.27991294861,55266.53799471311,4,-0.011277547514581987
2024-04-15,42412.43578235218,12674.441190719604,55086.87697307178,3,-0.003250810131412818
2024-04-16,39977.450054231325,15093.538075447083,55070.98812967841,4,-0.0002884324591706511
2024-04-17,46865.87413521626,8315.447895050049,55181.32203026631,2,0.002003485035134922
2024-04-18,42015.78866850575,13287.310876846313,55303.099545352066,4,0.0022068611371608426
2024-04-19,44541.89887728958,10788.273005485535,55330.17188277512,3,0.0004895265843254393
2024-04-22,42114.399629951644,13339.02813911438,55453.427769066024,4,0.0022276432929224654
2024-04-23,37699.57290783869,17990.624424934387,55690.197332773074,5,0.00426970113900027
2024-04-24,37849.40883000139,17981.692260742188,55831.10109074358,5,0.0025301357279907677
2024-04-25,34525.58935354939,21167.943959236145,55693.533312785534,6,-0.0024639990125656652
2024-04-26,34525.58935354939,21279.129106521606,55804.718460070995,6,0.0019963744562769836
2024-04-29,34525.58935354939,21455.79628753662,55981.38564108601,6,0.003165810811166736
2024-04-30,49411.32186880627,6721.283309936523,56132.60517874279,2,0.0027012467791758255
2024-05-01,48399.64048355336,7722.800399780273,56122.440883333635,3,-0.00018107649514564894
2024-05-02,40120.25596822356,16043.157333374023,56163.41330159758,5,0.000730054103475597
2024-05-03,43091.04374563616,13503.429061889648,56594.47280752581,4,0.007675094524854487
2024-05-06,39675.11469165586,17100.60969543457,56775.72438709043,5,0.003202637476296344
2024-05-07,36235.66323837047,20492.15855407715,56727.82179244762,6,-0.0008437161332581766
2024-05-08,40183.605082929185,16963.04702758789,57146.652110517076,5,0.007383155299031996
2024-05-09,36711.957826629776,20495.163499832153,57207.12132646193,6,0.0010581410058443375
2024-05-10,44258.230495877,13461.807830810547,57720.03832668754,4,0.008965964172512164
2024-05-13,41042.58792851422,16912.4594039917,57955.04733250592,5,0.004071532393798094
2024-05-14,40861.239785570666,17152.521236419678,58013.76102199034,5,0.001013090182595544
2024-05-15,41530.32653075224,17233.15496826172,58763.48149901396,5,0.012923148987693311
2024-05-16,45306.72415933108,13659.19519996643,58965.91935929751,4,0.0034449602902943965
2024-05-17,41924.61474984863,17085.297872543335,59009.91262239197,5,0.0007460794908731305
2024-05-20,38512.361073145614,20552.932760238647,59065.29383338426,6,0.000938506914027748
2024-05-21,38512.361073145614,20383.59956741333,58895.960640558944,6,-0.0028668814092923656
2024-05-22,42070.984913477645,16907.83410835266,58978.819021830306,5,0.0014068601712271533
2024-05-23,41969.94757245163,16738.777006149292,58708.72457860092,5,-0.00457951596367856
2024-05-24,38536.49232475509,20236.807765960693,58773.300090715784,6,0.0010999304205359106
2024-05-28,45413.614224169156,13514.158512115479,58927.772736284634,4,0.002628279258275912
2024-05-29,38449.22884307092,20150.322813034058,58599.55165610498,6,-0.005569887761557202
2024-05-30,45039.340871356355,13712.100828170776,58751.44169952713,4,0.0025920000943613353
2024-05-31,46134.23653658909,13266.759063720703,59400.99560030979,4,0.011055965300471815
2024-06-03,39276.92507683087,19819.85989189148,59096.78496872235,6,-0.005121305266234555
2024-06-04,39276.92507683087,19659.596364974976,58936.521441805846,6,-0.0027118823300003037
2024-06-05,39276.92507683087,19957.50795173645,59234.43302856732,6,0.005054787413193873
2024-06-06,42492.55704704572,16619.1924533844,59111.749500430116,5,-0.002071152231305051
2024-06-07,39126.87702619821,20053.78786087036,59180.664887068575,6,0.0011658492130732778
2024-06-10,39126.87702619821,20001.587575912476,59128.46460211069,6,-0.0008820496535059119
2024-06-11,42301.17990008214,16645.814113616943,58946.994013699084,5,-0.0030690901519726532
2024-06-12,32964.81112386227,25886.76970100403,58851.5808248663,7,-0.0016186268770653767
2024-06-13,36328.23912886716,22398.12012863159,58726.35925749875,6,-0.0021277519756044416
2024-06-14,40662.04775640448,18331.673358917236,58993.721115321714,5,0.0045526721084592214
2024-06-17,27418.028041310354,31396.224349975586,58814.25239128594,8,-0.0030421665330272463
2024-06-18,35754.432594533006,23574.872646331787,59329.30524086479,6,0.008757279547689345
2024-06-20,31530.70256816166,28374.106885910034,59904.8094540717,7,0.009700167747970001
2024-06-21,34511.69176431912,25371.069412231445,59882.761176550564,6,-0.0003680552149663008
2024-06-24,34511.69176431912,25410.062812805176,59921.754577124295,6,0.0006511623680605094
2024-06-25,34511.69176431912,25252.717491149902,59764.40925546902,6,-0.002625846368579876
2024-06-26,34511.69176431912,25166.51008605957,59678.20185037869,6,-0.0014424538979684876
2024-06-27,39171.79326796379,20773.032691955566,59944.825959919355,5,0.0044676967682291124
2024-06-28,40182.77528344342,19814.373001098633,59997.148284542054,5,0.0008728413801331047
2024-07-01,36792.12528689405,22969.421882629395,59761.547169523445,6,-0.003926871888997985
2024-07-02,36792.12528689405,22987.335777282715,59779.461064176765,6,0.0002997562061521908
2024-07-03,36792.12528689405,22906.207221984863,59698.33250887891,6,-0.0013571309251309005
2024-07-05,40246.63882100398,19602.513153076172,59849.15197408015,5,0.0025263597635463153
2024-07-08,36704.42331199595,22959.80645751953,59664.229769515485,6,-0.0030898049256362636
2024-07-09,36704.42331199595,22874.224143981934,59578.64745597789,6,-0.0014343990338634427
2024-07-10,36704.42331199595,23159.518478393555,59863.94179038951,6,0.004788533251320004
2024-07-11,43615.1671836303,16650.182373046875,60265.349556677174,4,0.006705334702034493
2024-07-12,34053.54485256832,26428.577476501465,60482.12232906978,6,0.003596971957969597
2024-07-15,25257.252529818037,35191.53675842285,60448.78928824089,8,-0.0005511222084358947
2024-07-16,38507.77692807679,22341.051376342773,60848.82830441956,5,0.006617816847764191
2024-07-17,34445.01140420267,26766.8924407959,61211.90384499857,6,0.005966845224407269
2024-07-18,30195.549174776523,30778.230506896973,60973.77968167349,7,-0.0038901610367823025
2024-07-19,30258.97112916424,30612.084274291992,60871.05540345624,7,-0.001684728726897844
2024-07-22,25851.767439516727,35430.87828063965,61282.645720156375,8,0.00676167538039385
2024-07-23,39106.09267134133,22060.686820983887,61166.779492325215,5,-0.0018906857964366974
2024-07-24,25689.80404992853,35379.437688827515,61069.24173875604,8,-0.0015946197327817435
2024-07-25,34645.32801549162,26810.779070854187,61456.10708634581,6,0.006334864107936822
2024-07-26,35445.073188148606,27417.060106277466,62862.13329442607,6,0.022878543317180755
2024-07-29,31044.149323754533,30719.92107772827,61764.07040148281,7,-0.017467795561443844
2024-07-30,26645.561423285573,35461.8988571167,62107.46028040227,8,0.005559702861021698
2024-07-31,35740.4033961816,26692.937705993652,62433.341102175254,6,0.005247047944026306
2024-08-01,45177.19205350625,17799.226484298706,62976.41853780496,4,0.008698516306230308
2024-08-02,50008.93492601689,12945.472630500793,62954.40755651768,3,-0.00034951148061967974
2024-08-05,51705.78603334191,10878.777030944824,62584.56306428673,3,-0.00587479902656407
2024-08-06,49221.491337316715,13463.083457946777,62684.57479526349,4,0.0015980255526275577
2024-08-07,51788.00504188912,10881.360804557802,62669.36584644692,3,-0.00024262665681706874
2024-08-08,41444.50416118112,21446.396235466003,62890.90039664712,6,0.003534973542623776
2024-08-09,41444.50416118112,21388.336721420288,62832.840882601406,6,-0.0009231782925596121
2024-08-12,45103.87945763759,17776.588787078857,62880.468244716445,5,0.0007580010937915382
2024-08-13,41611.52601296263,21447.576858520508,63059.10287148314,6,0.0028408603140721578
2024-08-14,44113.68947383038,19185.10894012451,63298.79841395489,5,0.003801125159681673
2024-08-15,34498.72850648062,29339.850969314575,63838.579475795195,7,0.008527508821104313
2024-08-16,42578.427422936846,21423.835052490234,64002.26247542708,5,0.0025640138138403046
2024-08-19,33677.89420114657,30795.09585571289,64472.99005685946,7,0.007354858456966484
2024-08-20,42896.87024336982,21439.1552734375,64336.02551680732,5,-0.002124370840120071
2024-08-21,39461.54116501353,25092.85269165039,64554.39385666392,6,0.003394184488433316
2024-08-22,44101.408753601696,20670.652435302734,64772.06118890443,5,0.0033718437930625456
2024-08-23,34335.670821103704,30801.816930770874,65137.48775187458,7,0.005641731269048211
2024-08-26,38194.13523919105,27046.306604385376,65240.441843576424,6,0.0015805658961551838
2024-08-27,38194.13523919105,26952.442697525024,65146.57793671607,6,-0.001438738061973921
2024-08-28,42972.98574447495,22085.846910476685,65058.832654951635,5,-0.0013468901137013711
2024-08-29,44229.65821475892,21066.140630722046,65295.79884548097,5,0.0036423369565530272
2024-08-30,45602.64139125262,19967.884947776794,65570.52633902941,5,0.004207429856223577
2024-09-03,49928.16682975686,15562.932774543762,65491.09960430062,4,-0.001211317632530795
2024-09-04,43044.7092991026,22567.476860046387,65612.18615914899,6,0.001848900928217212
