date,ticker,action,price,shares,value,reason,entry_date,entry_price,exit_price,cost,proceeds,pl,pl_pct,hold_days
2024-07-23,A,SELL,,34,,TAKE_PROFIT,2024-07-22,129.62363793080928,135.4596974509103,4407.203689647516,4605.629713330951,198.42602368343523,4.5023111627342365,1.0
2024-07-24,ADBE,BUY,548.4402080325119,8,4387.521664260095,NEW_CANDIDATE,,,,,,,,
2024-07-24,A,BUY,131.17578025478207,34,4459.976528662591,NEW_CANDIDATE,,,,,,,,
2024-07-24,AES,BUY,16.493828261697153,277,4568.7904284901115,NEW_CANDIDATE,,,,,,,,
2024-07-25,ABT,SELL,,43,,TAKE_PROFIT,2024-06-12,102.80598436261704,108.68925857543942,4420.657327592533,4673.638118743896,252.9807911513626,5.722696250902004,43.0
2024-07-25,ADBE,SELL,,8,,STOP_LOSS,2024-07-24,548.4402080325119,535.2357308523996,4387.521664260095,4281.885846819197,-105.63581744089879,-2.4076420704970594,1.0
2024-07-26,ABBV,SELL,,27,,TAKE_PROFIT,2024-06-20,161.69615493165946,178.5468886239188,4365.7961831548055,4820.765992845807,454.9698096910015,10.421233392582058,36.0
2024-07-26,A,SELL,,34,,TAKE_PROFIT,2024-07-24,131.17578025478207,134.6328503744943,4459.976528662591,4577.516912732806,117.54038407021562,2.635448489803204,2.0
2024-07-26,ABT,BUY,102.06187565503781,43,4388.660653166626,NEW_CANDIDATE,,,,,,,,
2024-07-26,ADBE,BUY,526.234634969375,8,4209.877079755,NEW_CANDIDATE,,,,,,,,
2024-07-29,MMM,SELL,,44,,TAKE_PROFIT,2024-07-17,100.14749002259646,106.3385829925537,4406.489560994244,4678.897651672362,272.40809067811824,6.181975173377111,12.0
2024-07-29,ABBV,BUY,180.18045569743106,25,4504.5113924357765,NEW_CANDIDATE,,,,,,,,
2024-07-29,A,BUY,138.64576132214117,33,4575.310123630658,NEW_CANDIDATE,,,,,,,,
2024-07-30,MMM,BUY,122.18299723524892,36,4398.587900468961,NEW_CANDIDATE,,,,,,,,
2024-07-31,ADBE,SELL,,8,,TAKE_PROFIT,2024-07-26,526.234634969375,549.4782300676618,4209.877079755,4395.825840541294,185.94876078629477,4.416964136091032,5.0
2024-07-31,A,SELL,,33,,TAKE_PROFIT,2024-07-29,138.64576132214117,142.39442825317383,4575.310123630658,4699.016132354736,123.70600872407795,2.703773195289179,2.0
2024-08-01,AFL,SELL,,49,,TAKE_PROFIT,2024-07-18,91.08560129923177,96.47497940063475,4463.194463662357,4727.273990631103,264.079526968746,5.916827714292571,14.0
2024-08-01,ABT,SELL,,43,,TAKE_PROFIT,2024-07-26,102.06187565503781,109.52359689985002,4388.660653166626,4709.514666693551,320.854013526925,7.310977969905549,6.0
2024-08-02,ABBV,SELL,,25,,TAKE_PROFIT,2024-07-29,180.18045569743106,193.2697149004255,4504.5113924357765,4831.742872510637,327.2314800748609,7.264527749321846,4.0
2024-08-05,ACN,SELL,,13,,STOP_LOSS,2024-07-19,328.64639941720236,311.2825927734375,4272.403192423631,4046.6737060546875,-225.72948636894307,-5.283431272807664,17.0
2024-08-05,ABBV,BUY,180.75558451766653,13,2349.822598729665,NEW_CANDIDATE,,,,,,,,
2024-08-06,AFL,BUY,95.54979600096891,26,2484.2946960251916,NEW_CANDIDATE,,,,,,,,
2024-08-07,AFL,SELL,,26,,TAKE_PROFIT,2024-08-06,95.54979600096891,98.71206556047711,2484.2946960251916,2566.513704572405,82.21900854721343,3.3095513458512693,1.0
2024-08-08,AFL,BUY,95.68393124996473,36,3444.6215249987304,NEW_CANDIDATE,,,,,,,,
2024-08-08,ACN,BUY,308.47982168937284,11,3393.278038583101,NEW_CANDIDATE,,,,,,,,
2024-08-08,ABT,BUY,109.55004116019292,32,3505.6013171261734,NEW_CANDIDATE,,,,,,,,
2024-08-12,AFL,SELL,,36,,TAKE_PROFIT,2024-08-08,95.68393124996473,101.64931379045758,3444.6215249987304,3659.375296456473,214.75377145774246,6.234466396357481,4.0
2024-08-13,AFL,BUY,99.78152699071292,35,3492.3534446749522,NEW_CANDIDATE,,,,,,,,
2024-08-14,ABBV,SELL,,13,,TAKE_PROFIT,2024-08-05,180.75558451766653,192.47411237444197,2349.822598729665,2502.1634608677455,152.3408621380804,6.4830792852378405,9.0
2024-08-15,ACN,SELL,,11,,TAKE_PROFIT,2024-08-08,308.47982168937284,324.2384486607143,3393.278038583101,3566.6229352678574,173.34489668475635,5.108479019807594,7.0
2024-08-15,ABBV,BUY,188.04090789692896,24,4512.981789526295,NEW_CANDIDATE,,,,,,,,
2024-08-15,ADBE,BUY,540.0819145905685,8,4320.655316724548,NEW_CANDIDATE,,,,,,,,
2024-08-15,AMD,BUY,140.25634826989577,31,4347.9467963667685,NEW_CANDIDATE,,,,,,,,
