date,ticker,action,price,shares,value,reason,entry_date,entry_price,exit_price,cost,proceeds,pl,pl_pct,hold_days
2025-03-26,AES,SELL,,200,,BEAR_STRONG_WEAK_EXIT,2025-03-24,12.454747003252011,11.942025512695313,2490.9494006504024,2388.4051025390627,-102.54429811133969,-4.116675275883353,2.0
2025-03-26,EQT,SELL,,28,,TAKE_PROFIT,2025-03-21,52.52112031299594,54.94443904331752,1470.5913687638863,1538.4442932128907,67.85292444900438,4.6139890312316005,5.0
2025-03-26,PSQ,BUY,38.51699668735288,1163,44795.2671473914,INVERSE_ETF_BEAR_STRONG,,,,,,,,
2025-03-27,PSQ,SELL,,1163,,BEAR_STRONG_WEAK_EXIT,2025-03-26,38.51699668735288,38.61805867767334,44795.2671473914,44912.802242134094,117.53509474269231,0.2623828413746536,1.0
2025-03-27,MSTR,BUY,332.02332232411425,4,1328.093289296457,NEW_CANDIDATE,,,,,,,,
2025-03-28,MSTR,SELL,,4,,BEAR_STRONG_WEAK_EXIT,2025-03-27,332.02332232411425,289.12059365844726,1328.093289296457,1156.482374633789,-171.61091466266794,-12.921600918078349,1.0
2025-03-28,DG,BUY,86.46712007696627,17,1469.9410413084265,NEW_CANDIDATE,,,,,,,,
2025-03-28,PSQ,BUY,39.84680275008748,1174,46780.1464286027,INVERSE_ETF_BEAR_STRONG,,,,,,,,
2025-03-31,DG,SELL,,17,,BEAR_STRONG_WEAK_EXIT,2025-03-28,86.46712007696627,86.31398261260986,1469.9410413084265,1467.3377044143676,-2.6033368940588844,-0.17710485120829045,3.0
2025-04-01,PSQ,SELL,,1174,,BEAR_STRONG_WEAK_EXIT,2025-03-28,39.84680275008748,39.35996129608154,46780.1464286027,46208.59456159973,-571.5518670029633,-1.2217829798273148,4.0
2025-04-01,APA,BUY,19.796157872616273,74,1464.9156825736043,NEW_CANDIDATE,,,,,,,,
2025-04-02,SH,SELL,,622,,BEAR_STRONG_WEAK_EXIT,2025-03-24,42.59279775235081,43.162837200164795,26492.720201962205,26847.2847385025,354.5645365402961,1.3383470396295318,9.0
2025-04-02,APA,SELL,,74,,TAKE_PROFIT,2025-04-01,19.796157872616273,21.143161119733534,1464.9156825736043,1564.5939228602815,99.67824028667724,6.804367068523681,1.0
2025-04-02,DG,BUY,84.76133051809303,17,1440.9426188075815,NEW_CANDIDATE,,,,,,,,
2025-04-02,PSQ,BUY,39.49413287703162,1176,46445.100263389184,INVERSE_ETF_BEAR_STRONG,,,,,,,,
2025-04-03,PSQ,SELL,,1176,,BEAR_STRONG_WEAK_EXIT,2025-04-02,39.49413287703162,41.17567535018921,46445.100263389184,48422.59421182251,1977.4939484333227,4.257701969032247,1.0
2025-04-03,DG,SELL,,17,,TAKE_PROFIT,2025-04-02,84.76133051809303,88.86177411760603,1440.9426188075815,1510.6501599993026,69.70754119172102,4.837634773368412,1.0
2025-04-03,APA,BUY,20.538346364277032,73,1499.2992845922233,NEW_CANDIDATE,,,,,,,,
2025-04-03,SH,BUY,45.75044188813618,715,32711.565950017368,INVERSE_ETF_BEAR_STRONG,,,,,,,,
2025-04-04,APA,SELL,,73,,BEAR_STRONG_WEAK_EXIT,2025-04-03,20.538346364277032,14.55671300983429,1499.2992845922233,1062.6400497179031,-436.6592348743202,-29.12422085181492,1.0
2025-04-04,DG,BUY,91.07574250964768,16,1457.211880154363,NEW_CANDIDATE,,,,,,,,
2025-04-04,PSQ,BUY,43.48155230624817,991,43090.21833549193,INVERSE_ETF_BEAR_STRONG,,,,,,,,
2025-04-07,DG,SELL,,16,,BEAR_STRONG_WEAK_EXIT,2025-04-04,91.07574250964768,90.32880837249756,1457.211880154363,1445.260933959961,-11.950946194401922,-0.8201241258845594,3.0
2025-04-07,RWM,SELL,,1485,,TAKE_PROFIT,2025-03-19,19.66761534887841,22.62462816238403,29206.40879308444,33597.57282114029,4391.1640280558495,15.034933117472487,19.0
2025-04-08,PSQ,SELL,,991,,BEAR_STRONG_WEAK_EXIT,2025-04-04,43.48155230624817,44.46543497085572,43090.21833549193,44065.24605611802,975.0277206260871,2.2627588308667033,4.0
2025-04-08,GEV,BUY,281.61583973533675,5,1408.0791986766837,NEW_CANDIDATE,,,,,,,,
2025-04-08,RWM,BUY,22.385498229444188,66,1477.4428831433165,NEW_CANDIDATE,,,,,,,,
2025-04-08,RWM,BUY,22.88589356704137,1619,37052.26168503998,INVERSE_ETF_BEAR_STRONG,,,,,,,,
2025-04-09,RWM,SELL,,66,,BEAR_STRONG_WEAK_EXIT,2025-04-08,22.385498229444188,21.12165848350525,1477.4428831433165,1394.0294599113465,-83.41342323197,-5.645796814459909,1.0
2025-04-09,GEV,SELL,,5,,TAKE_PROFIT,2025-04-08,281.61583973533675,303.4289576939174,1408.0791986766837,1517.1447884695872,109.06558979290344,7.745699950358158,1.0
2025-04-09,RWM,SELL,,1619,,STOP_LOSS,2025-04-08,22.88589356704137,21.284538879394532,37052.26168503998,34459.66844573975,-2592.5932393002295,-6.997125469258469,1.0
2025-04-09,PSQ,BUY,39.76412203582952,1027,40837.75333079692,INVERSE_ETF_BEAR_STRONG,,,,,,,,
2025-04-10,SH,SELL,,715,,BEAR_STRONG_WEAK_EXIT,2025-04-03,45.75044188813618,45.7835125465393,32711.565950017368,32735.211470775597,23.645520758229395,0.07228489395573201,7.0
2025-04-10,GEV,BUY,320.1245828218687,4,1280.498331287475,NEW_CANDIDATE,,,,,,,,
2025-04-10,UNH,BUY,577.1938695003715,2,1154.387739000743,NEW_CANDIDATE,,,,,,,,
2025-04-10,RWM,BUY,21.642829341324568,1721,37247.30929641958,INVERSE_ETF_BEAR_STRONG,,,,,,,,
2025-04-11,GEV,SELL,,4,,BEAR_STRONG_WEAK_EXIT,2025-04-10,320.1245828218687,320.59067898559573,1280.498331287475,1282.362715942383,1.864384654908008,0.14559836661664882,1.0
2025-04-11,UNH,SELL,,2,,TAKE_PROFIT,2025-04-10,577.1938695003715,588.2564923967634,1154.387739000743,1176.5129847935268,22.125245792783744,1.9166216900342097,1.0
2025-04-11,SH,BUY,44.40249198971671,734,32591.429120452063,INVERSE_ETF_BEAR_STRONG,,,,,,,,
2025-04-14,RWM,SELL,,1721,,BEAR_STRONG_WEAK_EXIT,2025-04-10,21.642829341324568,21.464860851287842,37247.30929641958,36941.025525066376,-306.28377135320625,-0.8222977099251784,4.0
