ticker,sector,entry_date,exit_date,entry_price,exit_price,shares,pl,pl_pct,hold_days,reason,entry_reason,action,date
JNJ,Health Care,2021-01-13,2021-01-14,137.99120112609862,140.12282894897461,10,21.316278228759984,1.5447563362594996,1,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-14
LIN,Materials,2021-01-13,2021-01-14,251.03597195434563,246.7538079071045,5,-21.41082023620561,-1.7057969875408505,1,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-14
MMC,Financials,2021-01-13,2021-01-14,105.50679910278319,103.91343859863281,14,-22.30704705810558,-1.5101969898623975,1,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-14
MRK,Health Care,2021-01-13,2021-01-14,67.67677053833008,67.40209677886963,22,-6.042822708129734,-0.40586120950448656,1,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-14
TYL,Information Technology,2021-01-13,2021-01-14,422.41198022460935,418.8007812194824,3,-10.833597015380747,-0.8548997599941958,1,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-14
TRI,Consumer Discretionary,2021-01-13,2021-01-14,74.1436725692749,73.14800832366943,20,-19.913284912109248,-1.3428849841167232,1,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-14
AKAM,Information Technology,2021-01-15,2021-01-21,106.55644694519043,109.84004695129396,14,45.97040008544923,3.0815592113281567,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-21
T,Communication Services,2021-01-15,2021-01-21,16.128017957687376,15.90818820762634,92,-20.224337005615553,-1.3630301667431945,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-21
BALL,Materials,2021-01-15,2021-01-21,85.37484033203124,86.03349403381348,17,11.19711293029809,0.771484548867876,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-21
BRK-B,Financials,2021-01-15,2021-01-21,233.72349549865723,233.92584365844723,6,1.2140889587401489,0.0865758743502907,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-21
BMY,Health Care,2021-01-15,2021-01-21,55.2634831161499,53.19692911148072,27,-55.79695812606792,-3.739456668566849,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-21
