date,regime,regime_changed,signals_generated,buy_orders,sell_orders,positions_open,portfolio_value,cash,exposure_pct
2024-12-02,BULL_WEAK,False,374,0,0,9,156144.63956720522,48448.3625400751,68.97212566863512
2024-12-03,BULL_WEAK,False,369,0,0,9,155864.12459833315,48448.3625400751,68.9162835482969
2024-12-04,BULL_WEAK,False,372,1,1,9,157784.43678911956,51731.84152849945,67.213596865932
2024-12-05,BULL_WEAK,False,366,0,0,9,156807.90429934295,51731.84152849945,67.00941718489875
2024-12-06,BULL_WEAK,False,355,0,0,9,156865.8615289572,51731.84152849945,67.02160621547996
2024-12-09,BULL_WEAK,False,350,2,2,9,151969.01349790653,49762.41275175174,67.25489518793431
2024-12-10,BULL_WEAK,False,336,0,1,8,151272.0935468363,60374.64979454746,60.088706132797384
2024-12-11,BULL_WEAK,False,339,0,0,8,152962.16322228184,60374.64979454746,60.52968360102745
2024-12-12,BULL_WEAK,False,339,1,1,8,151399.95094037775,58084.39953733209,61.63512657926415
2024-12-13,BULL_WEAK,False,336,0,0,8,152887.73197294,58084.39953733209,62.008462819232214
2024-12-16,BULL_WEAK,False,335,0,0,8,154308.38200116876,58084.39953733209,62.35823434601747
2024-12-17,BULL_WEAK,False,318,0,0,8,153447.69162107233,58084.39953733209,62.147101123705916
2024-12-18,BULL_WEAK,False,277,0,1,7,147830.50569836452,68624.81186215236,53.578720753228424
2024-12-19,BULL_WEAK,False,277,0,0,7,147360.8393050845,68624.81186215236,53.43076750528215
2024-12-20,BULL_WEAK,False,280,2,1,8,148137.31054743502,54490.91780909272,63.21593958488655
2024-12-23,BULL_WEAK,False,274,0,0,8,147269.51113566133,54490.91780909272,62.99918605766476
2024-12-24,BULL_WEAK,False,278,0,0,8,149524.85181864473,54490.91780909272,63.557283524224104
2024-12-26,BULL_WEAK,False,289,0,0,8,148885.08910425875,54490.91780909272,63.40068831813323
2024-12-27,BULL_WEAK,False,283,0,0,8,146560.36047419283,54490.91780909272,62.82015298489403
2024-12-30,BULL_WEAK,False,260,1,1,8,145356.1339668869,53206.734713041704,63.395604120041796
2024-12-31,BULL_WEAK,False,256,0,0,8,143852.39256521454,53206.734713041704,63.01296505101869
2025-01-02,BULL_WEAK,False,100,3,2,9,143941.4079388914,40917.27155964947,71.57366171031174
2025-01-03,BULL_WEAK,False,106,0,0,9,147687.55771916485,40917.27155964947,72.29470634387788
2025-01-06,BULL_WEAK,False,101,0,0,9,149897.51875203228,40917.27155964947,72.70316953855868
2025-01-07,BULL_WEAK,False,96,0,0,9,147226.76308720684,40917.27155964947,72.20799350494927
2025-01-08,BULL_WEAK,False,100,0,0,9,147845.18534367657,40917.27155964947,72.32424480747589
